Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Sova Classic Mattress,sova-classic-mattress,Sova Classic by Foamico — balanced everyday comfort with Plush Core Latex over Posture Bond orthopedic support. 15-year warranty with 5-year full replacement.,Foamico,Home & Garden > Linens & Bedding > Bedding > Mattresses,Mattress,"Mattress, Sova, Classic",TRUE,Active,SOVA-CLS-SIN,,Size,"Single (72"" x 36"")",,,,,,,,14999,18999,,TRUE,,,,,,shopify,10,DENY,18,kg,TRUE,manual,,,,,FALSE,Sova Classic Mattress | Foamico,Sova Classic by Foamico — balanced everyday comfort with Plush Core Latex over Posture Bond orthopedic support. 15-year warranty with 5-year full replacement.,,Home & Garden > Linens & Bedding > Bedding > Mattresses,Unisex,Adult (13+ years old),,,,New,FALSE,,,,,
,sova-classic-mattress,,,,,,,,SOVA-CLS-DOU,,Size,"Double (72"" x 48"")",,,,,,,,18999,24999,,TRUE,,,,,,shopify,10,DENY,23,kg,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,sova-classic-mattress,,,,,,,,SOVA-CLS-QUE,,Size,"Queen (78"" x 60"")",,,,,,,,21999,27999,,TRUE,,,,,,shopify,10,DENY,28,kg,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,sova-classic-mattress,,,,,,,,SOVA-CLS-KIN,,Size,"King (78"" x 72"")",,,,,,,,26999,33999,,TRUE,,,,,,shopify,10,DENY,33,kg,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Sova Premium Mattress,sova-premium-mattress,Sova Premium by Foamico — Cosmic Byte and Plush Core Latex comfort foams over Posture Bond orthopedic support. 15-year warranty with 5-year full replacement.,Foamico,Home & Garden > Linens & Bedding > Bedding > Mattresses,Mattress,"Mattress, Sova, Premium",TRUE,Active,SOVA-PRM-SIN,,Size,"Single (72"" x 36"")",,,,,,,,16999,21999,,TRUE,,,,,,shopify,10,DENY,18,kg,TRUE,manual,,,,,FALSE,Sova Premium Mattress | Foamico,Sova Premium by Foamico — Cosmic Byte and Plush Core Latex comfort foams over Posture Bond orthopedic support. 15-year warranty with 5-year full replacement.,,Home & Garden > Linens & Bedding > Bedding > Mattresses,Unisex,Adult (13+ years old),,,,New,FALSE,,,,,
,sova-premium-mattress,,,,,,,,SOVA-PRM-DOU,,Size,"Double (72"" x 48"")",,,,,,,,21999,27999,,TRUE,,,,,,shopify,10,DENY,23,kg,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,sova-premium-mattress,,,,,,,,SOVA-PRM-QUE,,Size,"Queen (78"" x 60"")",,,,,,,,25999,32999,,TRUE,,,,,,shopify,10,DENY,28,kg,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,sova-premium-mattress,,,,,,,,SOVA-PRM-KIN,,Size,"King (78"" x 72"")",,,,,,,,31999,38999,,TRUE,,,,,,shopify,10,DENY,33,kg,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Sova Luxury Mattress,sova-luxury-mattress,Sova Luxury by Foamico — Memorest and Cosmic Byte comfort foams over Posture Bond orthopedic support. 15-year warranty with 5-year full replacement.,Foamico,Home & Garden > Linens & Bedding > Bedding > Mattresses,Mattress,"Mattress, Sova, Luxury",TRUE,Active,SOVA-LUX-SIN,,Size,"Single (72"" x 36"")",,,,,,,,18999,23999,,TRUE,,,,,,shopify,10,DENY,18,kg,TRUE,manual,,,,,FALSE,Sova Luxury Mattress | Foamico,Sova Luxury by Foamico — Memorest and Cosmic Byte comfort foams over Posture Bond orthopedic support. 15-year warranty with 5-year full replacement.,,Home & Garden > Linens & Bedding > Bedding > Mattresses,Unisex,Adult (13+ years old),,,,New,FALSE,,,,,
,sova-luxury-mattress,,,,,,,,SOVA-LUX-DOU,,Size,"Double (72"" x 48"")",,,,,,,,23999,29999,,TRUE,,,,,,shopify,10,DENY,23,kg,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
